VC_COMP_CODE,ITEM_CODE,ITEM_NAME,CLASIFICATION,GROUP_NAME,SUB_GROUP_NAME,STOCK_Consumption_MONTH,Stock_BAL,REORDER_LEVEL,PENDING_PO,PENDING_SO
02,00146,PCBA POWER BOARD,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
02,00468,PLASTIC,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
02,00153,STANDARD PART CROSS SCREW 4*16 INCH,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
02,00155,IRONWARE ALUMINIUM,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
02,00156,STANDARD PART CROSS HEXA BOLT,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
02,00157,PCBA CONTROL BOARD,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
02,00159,SEAL GASKET - O RING,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
02,00160,STANDARD  PART CROSS SCREW 4*25 INCH,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
02,00232,LEATHER,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
03,00147,HEAT SINK,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
03,00148,IRONWARE- HEXA COLUMN,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
03,00149,SEAL GASKET FOR HEAT SINK,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
03,00151,IRONWARE- ALUMINIUM COLUMN,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
03,00162,PLASTIC COVER ISOLATION COLUMN 4.2*20 INCH,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
03,00163,STANDARD PART CROSS SCREW 12*1 INCH,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
03,00165,STANDARD PART CROSS SCREW 12*1 INCH,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
03,00166,WATERPROOF AIR VALVE BLACK WITH O RING,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
03,00167,COVER PLASTIC,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
03,00146,PCBA POWER BOARD,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
03,00468,PLASTIC,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
03,00152,PLASTIC COVER ISOLATION COLUMN 0.28*0.35 INCH,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
03,00153,STANDARD PART CROSS SCREW 4*16 INCH,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
03,00155,IRONWARE ALUMINIUM,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
03,00156,STANDARD PART CROSS HEXA BOLT,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
03,00157,PCBA CONTROL BOARD,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
03,00159,SEAL GASKET - O RING,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
03,00160,STANDARD  PART CROSS SCREW 4*25 INCH,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
03,00232,LEATHER,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
04,00147,HEAT SINK,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
04,00148,IRONWARE- HEXA COLUMN,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
04,00149,SEAL GASKET FOR HEAT SINK,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
04,00151,IRONWARE- ALUMINIUM COLUMN,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
04,00160,STANDARD  PART CROSS SCREW 4*25 INCH,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
04,00162,PLASTIC COVER ISOLATION COLUMN 4.2*20 INCH,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
04,00163,STANDARD PART CROSS SCREW 12*1 INCH,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
04,00165,STANDARD PART CROSS SCREW 12*1 INCH,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
04,00166,WATERPROOF AIR VALVE BLACK WITH O RING,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
04,00167,COVER PLASTIC,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
04,00146,PCBA POWER BOARD,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
04,00468,PLASTIC,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
04,00152,PLASTIC COVER ISOLATION COLUMN 0.28*0.35 INCH,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
04,00153,STANDARD PART CROSS SCREW 4*16 INCH,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
04,00155,IRONWARE ALUMINIUM,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
04,00156,STANDARD PART CROSS HEXA BOLT,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
04,00157,PCBA CONTROL BOARD,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
04,00159,SEAL GASKET - O RING,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
04,00232,LEATHER,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
01,00147,HEAT SINK,Raw Material,ELECTRIC PARTS,MCU RM,0,0,500,0,0
01,00148,IRONWARE- HEXA COLUMN,Raw Material,ELECTRIC PARTS,MCU RM,0,0,500,0,0
01,00149,SEAL GASKET FOR HEAT SINK,Raw Material,ELECTRIC PARTS,MCU RM,0,0,500,0,0
01,00151,IRONWARE- ALUMINIUM COLUMN,Raw Material,ELECTRIC PARTS,MCU RM,0,0,100,0,0
01,00160,STANDARD  PART CROSS SCREW 4*25 INCH,Raw Material,ELECTRIC PARTS,MCU RM,0,0,500,0,0
01,00162,PLASTIC COVER ISOLATION COLUMN 4.2*20 INCH,Raw Material,ELECTRIC PARTS,MCU RM,0,0,500,0,0
01,00163,STANDARD PART CROSS SCREW 12*1 INCH,Raw Material,ELECTRIC PARTS,MCU RM,0,0,500,0,0
01,00165,STANDARD PART CROSS SCREW 12*1 INCH,Raw Material,ELECTRIC PARTS,MCU RM,0,0,500,0,0
01,00166,WATERPROOF AIR VALVE BLACK WITH O RING,Raw Material,ELECTRIC PARTS,MCU RM,0,0,500,0,0
01,00167,COVER PLASTIC,Raw Material,ELECTRIC PARTS,MCU RM,0,20,500,0,0
01,00146,PCBA POWER BOARD,Raw Material,ELECTRIC PARTS,MCU RM,0,0,500,0,0
01,00468,PLASTIC,Raw Material,ELECTRIC PARTS,MCU RM,0,45,0,0,0
01,00152,PLASTIC COVER ISOLATION COLUMN 0.28*0.35 INCH,Raw Material,ELECTRIC PARTS,MCU RM,0,290,500,0,0
01,00153,STANDARD PART CROSS SCREW 4*16 INCH,Raw Material,ELECTRIC PARTS,MCU RM,0,0,500,0,0
01,00155,IRONWARE ALUMINIUM,Raw Material,ELECTRIC PARTS,MCU RM,0,0,500,0,0
01,00156,STANDARD PART CROSS HEXA BOLT,Raw Material,ELECTRIC PARTS,MCU RM,0,0,500,0,0
01,00157,PCBA CONTROL BOARD,Raw Material,ELECTRIC PARTS,MCU RM,0,0,500,0,0
01,00159,SEAL GASKET - O RING,Raw Material,ELECTRIC PARTS,MCU RM,0,0,500,0,0
01,00232,LEATHER,Raw Material,ELECTRIC PARTS,MCU RM,0,45,0,0,0
02,00150,WIP 1,Semi-Finished Goods,Electrical Assy,MCU WIP,0,0,0,0,0
02,00161,WIP 4,Semi-Finished Goods,Electrical Assy,MCU WIP,0,0,0,0,0
02,00164,WIP 5,Semi-Finished Goods,Electrical Assy,MCU WIP,0,0,0,0,0
02,00154,WIP 2,Semi-Finished Goods,Electrical Assy,MCU WIP,0,0,0,0,0
02,00158,WIP 3,Semi-Finished Goods,Electrical Assy,MCU WIP,0,0,0,0,0
03,00150,WIP 1,Semi-Finished Goods,Electrical Assy,MCU WIP,0,0,0,0,0
03,00161,WIP 4,Semi-Finished Goods,Electrical Assy,MCU WIP,0,0,0,0,0
03,00164,WIP 5,Semi-Finished Goods,Electrical Assy,MCU WIP,0,0,0,0,0
03,00154,WIP 2,Semi-Finished Goods,Electrical Assy,MCU WIP,0,0,0,0,0
03,00158,WIP 3,Semi-Finished Goods,Electrical Assy,MCU WIP,0,0,0,0,0
04,00150,WIP 1,Semi-Finished Goods,Electrical Assy,MCU WIP,0,0,0,0,0
04,00161,WIP 4,Semi-Finished Goods,Electrical Assy,MCU WIP,0,0,0,0,0
04,00164,WIP 5,Semi-Finished Goods,Electrical Assy,MCU WIP,0,0,0,0,0
04,00154,WIP 2,Semi-Finished Goods,Electrical Assy,MCU WIP,0,0,0,0,0
04,00158,WIP 3,Semi-Finished Goods,Electrical Assy,MCU WIP,0,0,0,0,0
